,titles,prices,corpus,cosine_vals,ebay_url,image_url,price_diff,clean_url
54,Patagonia Womens XL Gray Purple Pocket Re-Tool Snap-T Fleece Pullover Jacket,44.99,patagonia women xl gray purpl pocket re-tool snap-t fleec pullov jacket,0.24963549414381236,['https://www.ebay.com/itm/Patagonia-Womens-XL-Gray-Purple-Pocket-Re-Tool-Snap-T-Fleece-Pullover-Jacket-/333487922362'],['https://thumbs3.ebaystatic.com/m/me7qfJrDqJuNkBQh-ORk8bg/140.jpg'],154.01,https://www.ebay.com/itm/Patagonia-Womens-XL-Gray-Purple-Pocket-Re-Tool-Snap-T-Fleece-Pullover-Jacket-/333487922362
24,Vintage Patagonia Womens Small S Full Zip Fleece Lined Bomber Jacket Coat USA,24.95,vintag patagonia women small full zip fleec line bomber jacket coat usa,0.24963549414381236,['https://www.ebay.com/itm/Vintage-Patagonia-Womens-Small-S-Full-Zip-Fleece-Lined-Bomber-Jacket-Coat-USA-/293435013658'],['https://thumbs3.ebaystatic.com/m/mswMBSaaCUGT5fl8s00wDcQ/140.jpg'],174.05,https://www.ebay.com/itm/Vintage-Patagonia-Womens-Small-S-Full-Zip-Fleece-Lined-Bomber-Jacket-Coat-USA-/293435013658
74,8806 NWT NEW $70 Patagonia Women's Plush Synchilla Hoody Fleece Zip Jacket Top S,34.99,8806 nwt new $70 patagonia women' plush synchilla hoodi fleec zip jacket top,0.2385534451960737,['https://www.ebay.com/itm/8806-NWT-NEW-70-Patagonia-Womens-Plush-Synchilla-Hoody-Fleece-Zip-Jacket-Top-S-/193195625823?var=0'],['https://thumbs1.ebaystatic.com/pict/04040_0.jpg'],164.01,https://www.ebay.com/itm/8806-NWT-NEW-70-Patagonia-Womens-Plush-Synchilla-Hoody-Fleece-Zip-Jacket-Top-S-/193195625823?var=0
41,Patagonia 1/4 Zip Women’s Better Sweater - XS,11.99,patagonia 1/4 zip women’ better sweater - xs,0.22576484600261604,['https://www.ebay.com/itm/Patagonia-1-4-Zip-Women-s-Better-Sweater-XS-/202885220731'],['https://thumbs4.ebaystatic.com/m/mlvD69S1W-WVlwScLjU2KjA/140.jpg'],187.01,https://www.ebay.com/itm/Patagonia-1-4-Zip-Women-s-Better-Sweater-XS-/202885220731
80,Patagonia XL Women’s Fleece Gray Smoke Free,50.0,patagonia xl women’ fleec gray smoke free,0.20613696606828605,['https://www.ebay.com/itm/Patagonia-XL-Women-s-Fleece-Gray-Smoke-Free-/264606924256'],['https://thumbs1.ebaystatic.com/m/mpPldGMMyQbt8NMgSUf9mkw/140.jpg'],149.0,https://www.ebay.com/itm/Patagonia-XL-Women-s-Fleece-Gray-Smoke-Free-/264606924256
72,Patagonia Polartec Fleece. Womens Large Gray/pink,41.0,patagonia polartec fleece. women larg gray/pink,0.20613696606828605,['https://www.ebay.com/itm/Patagonia-Polartec-Fleece-Womens-Large-Gray-pink-/153800608049'],['https://thumbs2.ebaystatic.com/m/mpdRYBA8ka60D8DRBKzG8BQ/140.jpg'],158.0,https://www.ebay.com/itm/Patagonia-Polartec-Fleece-Womens-Large-Gray-pink-/153800608049
0,"patagonia synchilla, White, Womens Small, Full Zip",35.0,"patagonia synchilla, white, women small, full zip",0.20613696606828605,['https://www.ebay.com/itm/patagonia-synchilla-White-Womens-Small-Full-Zip-/114079642684'],['https://thumbs1.ebaystatic.com/m/mRRtfeTb8NBLYFzvSy3EEyg/140.jpg'],164.0,https://www.ebay.com/itm/patagonia-synchilla-White-Womens-Small-Full-Zip-/114079642684
7,NWT XXS & XS Womens Patagonia Better Sweater,50.0,nwt xx & xs women patagonia better sweater,0.20613696606828605,['https://www.ebay.com/itm/NWT-XXS-XS-Womens-Patagonia-Better-Sweater-/323963212188?var=0'],['https://thumbs1.ebaystatic.com/pict/04040_0.jpg'],149.0,https://www.ebay.com/itm/NWT-XXS-XS-Womens-Patagonia-Better-Sweater-/323963212188?var=0
50,Patagonia Womens Quilted Snap Pullover Size Medium,72.0,patagonia women quilt snap pullov size medium,0.20613696606828605,['https://www.ebay.com/itm/Patagonia-Womens-Quilted-Snap-Pullover-Size-Medium-/264561517707'],['https://thumbs4.ebaystatic.com/m/mMwb8Te1e3NC_oiGJMKLAsg/140.jpg'],127.0,https://www.ebay.com/itm/Patagonia-Womens-Quilted-Snap-Pullover-Size-Medium-/264561517707
31,Patagonia ReTool Snap T Pullover Women’s Medium Purple,55.0,patagonia retool snap pullov women’ medium purpl,0.20613696606828605,['https://www.ebay.com/itm/Patagonia-ReTool-Snap-T-Pullover-Women-s-Medium-Purple-/324049548772'],['https://thumbs1.ebaystatic.com/m/m2VIyydQs7Fm7Qzanxc5IwQ/140.jpg'],144.0,https://www.ebay.com/itm/Patagonia-ReTool-Snap-T-Pullover-Women-s-Medium-Purple-/324049548772
27,Women's Patagonia Retro Pile Hoody Size Small Pelican,80.0,women' patagonia retro pile hoodi size small pelican,0.1908740661302035,['https://www.ebay.com/itm/Womens-Patagonia-Retro-Pile-Hoody-Size-Small-Pelican-/174155045968'],['https://thumbs1.ebaystatic.com/m/mngAxjt7HVt2nA43NzEQVAQ/140.jpg'],119.0,https://www.ebay.com/itm/Womens-Patagonia-Retro-Pile-Hoody-Size-Small-Pelican-/174155045968
15,Patagonia Purple Re-Tool Womens Medium Fleece Vest,50.0,patagonia purpl re-tool women medium fleec vest,0.1908740661302035,['https://www.ebay.com/itm/Patagonia-Purple-Re-Tool-Womens-Medium-Fleece-Vest-/283753491182'],['https://thumbs3.ebaystatic.com/m/mzZ4xtCpTVd2PjF7tor7rwQ/140.jpg'],149.0,https://www.ebay.com/itm/Patagonia-Purple-Re-Tool-Womens-Medium-Fleece-Vest-/283753491182
79,Patagonia Windproof Women's Vest *Black* Size:XL NEW,70.95,patagonia windproof women' vest *black* size:xl new,0.1908740661302035,['https://www.ebay.com/itm/Patagonia-Windproof-Womens-Vest-Black-Size-XL-NEW-/303430572285'],['https://thumbs2.ebaystatic.com/m/maB2yEZ1R9ufizZfdqEg8jQ/140.jpg'],128.05,https://www.ebay.com/itm/Patagonia-Windproof-Womens-Vest-Black-Size-XL-NEW-/303430572285
